Graph,Count,Avg rb,Min rb,HitTime
brock800_2.clq,10,116.00,116,10
MANN_a81.clq,10,1134.00,1134,10
p_hat300-2.clq,10,40.00,40,10
p_hat1500-2.clq,10,158.00,158,10
C2000.5.clq,10,186.00,186,10
brock400_4.clq,10,78.60,78,4
brock200_2.clq,10,26.00,26,10
C500.9.clq,10,161.00,161,10
C250.9.clq,10,90.00,90,10
p_hat300-3.clq,10,66.60,65,6
p_hat700-3.clq,10,135.00,135,10
gen400_p0.9_65.clq,10,65.00,65,10
hamming8-4.clq,10,16.00,16,10
p_hat300-1.clq,10,20.00,20,10
p_hat700-2.clq,10,85.00,85,10
brock800_4.clq,10,117.00,117,10
DSJC1000.5.clq,10,103.00,103,10
MANN_a27.clq,10,140.00,140,10
C4000.5.clq,10,339.10,339,9
gen200_p0.9_55.clq,10,59.00,59,10
C1000.9.clq,10,257.00,257,10
brock200_4.clq,10,42.00,42,10
p_hat1500-1.clq,10,71.00,71,10
keller4.clq,10,15.00,15,10
brock400_2.clq,10,77.20,77,8
C125.9.clq,10,45.00,45,10
p_hat700-1.clq,10,39.00,39,10
keller6.clq,10,71.10,71,9
gen400_p0.9_55.clq,10,55.00,55,10
MANN_a45.clq,10,360.00,360,10
C2000.9.clq,10,489.00,489,10
DSJC500.5.clq,10,56.00,56,10
hamming10-4.clq,10,72.00,72,10
p_hat1500-3.clq,10,263.00,263,10
gen200_p0.9_44.clq,10,44.00,44,10
gen400_p0.9_75.clq,10,75.00,75,10
keller5.clq,10,31.00,31,10
