Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
scc_rt_dash,10,6.00,6,10,0.0000,0.0000
web-it-2004,10,432.00,432,10,24.3000,25.5740
soc-karate,10,5.00,5,10,0.0000,0.0000
scc_rt_barackobama,10,10.00,10,10,0.0000,0.0000
scc_rt_occupywallstnyc,10,18.00,18,10,0.0000,0.0000
scc_rt_uae,10,3.00,3,10,0.0000,0.0000
scc_rt_mittromney,10,5.00,5,10,0.0000,0.0000
scc_rt_tlot,10,2.00,2,10,0.0000,0.0000
scc_rt_alwefaq,10,16.00,16,10,0.0000,0.0000
ia-enron-large,10,23.80,23,2,13.5500,16.8650
rt-retweet-crawl,10,13.00,13,10,2.3600,6.3190
scc_enron-only,10,120.00,120,10,0.0200,0.1720
socfb-Duke14,10,41.80,41,3,31.1600,40.5100
web-polblogs,10,10.00,10,10,0.0000,0.0010
socfb-MIT,10,37.70,37,3,29.5400,36.7700
scc_infect-hyper,10,106.00,106,10,0.0000,0.0130
web-BerkStan,10,29.00,29,10,0.0000,0.0110
scc_fb-messages,10,707.00,707,10,2.8400,7.2550
inf-roadNet-CA,10,4.00,4,10,1.9000,3.8810
tech-internet-as,10,16.00,16,10,0.2500,0.3210
web-wikipedia2009,10,31.00,31,10,4.8600,8.8250
bio-yeast,10,6.00,6,10,0.0000,0.0090
rt-twitter-copen,10,4.00,4,10,0.0000,0.0000
soc-douban,10,11.00,11,10,0.6100,1.4090
soc-brightkite,10,37.00,37,10,1.7400,3.6290
scc_rt_saudi,10,8.00,8,10,0.0000,0.0000
socfb-Berkeley13,10,42.90,42,4,21.5600,38.8150
scc_rt_justinbieber,10,17.00,17,10,0.0000,0.0000
ia-reality,10,5.00,5,10,0.0000,0.0070
