Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
kron_g500-simple-logn16,10,36.80,36,2,0.923034,0.9638169999999999
germany.osm,10,4.00,4,10,3.81814,4.017397
rgg_n_2_21_s0,10,18.00,18,10,3.38908,3.505909
kron_g500-simple-logn18,10,36.60,36,4,8.3584,9.195432499999999
delaunay_n14,10,5.00,5,10,0.011544,0.0135792
333SP,10,5.00,5,10,3.01573,3.543405
hugetric-00000,10,3.00,3,10,2.44233,2.772611
vsp_finan512_scagr7-2c_rlfddd,10,6.00,6,10,0.11158,0.12470679999999999
coAuthorsDBLP,10,115.00,115,10,0.242968,0.2513926
NLR,10,5.00,5,10,4.66523,5.16699
football,10,9.00,9,10,0.000503,0.0006047
vsp_msc10848_300sep_100in_1Kout,10,63.00,63,10,0.191356,0.2007347
channel-500x100x100-b050,10,4.00,4,10,5.59732,5.812798
vsp_model1_crew1_cr42_south31,10,7.10,7,9,0.028095,0.033584333333333334
hep-th,10,5.00,5,10,0.006274,0.0090803
kron_g500-logn17,10,36.00,36,10,2.49736,2.955481
vsp_vibrobox_scagr7-2c_rlfddd,10,18.00,18,10,0.069426,0.08710760000000001
kron_g500-simple-logn17,10,36.30,36,7,2.16081,2.7544614285714286
rgg_n_2_18_s0,10,15.00,15,10,0.361534,0.3814435
delaunay_n11,10,5.00,5,10,0.001111,0.0015008
delaunay_n24,10,5.00,5,10,9.33452,9.775172
vsp_data_and_seymourl,10,7.00,7,10,0.006997,0.0089595
kron_g500-logn16,10,36.20,36,8,0.994484,1.12396425
rgg_n_2_15_s0,10,12.00,12,10,0.038387,0.0626188
thermal2,10,5.00,5,10,0.645285,0.6702532999999999
delaunay_n17,10,5.00,5,10,0.067671,0.0721184
dolphins,10,5.00,5,10,0.000148,0.0002996
kkt_power,10,11.00,11,10,1.2724,1.3270469999999999
vsp_mod2_pgp2_slptsk,10,11.20,11,8,0.072555,0.088436375
netherlands.osm,10,4.00,4,10,0.552809,0.5864948
adjnoun,10,5.00,5,10,0.000249,0.0004923
europe.osm,10,4.00,4,10,14.1638,14.64069
celegansneural,10,13.00,13,10,0.000489,0.0012407
rgg_n_2_16_s0,10,14.00,14,10,0.079329,0.0944782
delaunay_n20,10,5.00,5,10,0.570678,0.6085634
italy.osm,10,3.00,3,10,1.78892,1.884384
venturiLevel3,10,4.00,4,10,1.50276,1.620428
kron_g500-logn19,10,38.60,38,4,16.822,19.588
in-2004,10,489.00,489,10,1.85133,1.8924940000000001
adaptive,10,2.00,2,10,2.48915,2.594032
coAuthorsCiteseer,10,87.00,87,10,0.167398,0.1856563
G3_circuit,10,3.00,3,10,0.504599,0.5278304
coPapersDBLP,10,337.00,337,10,2.33837,2.518896
eu-2005,10,387.00,387,10,2.15015,2.243971
nlpkkt120,10,2.00,2,10,5.91826,6.165725
luxembourg.osm,10,3.00,3,10,0.025117,0.0279078
coPapersCiteseer,10,845.00,845,10,2.11815,2.200919
vsp_befref_fxm_2_4_air02,10,8.00,8,10,0.012939,0.0174788
nlpkkt160,10,2.00,2,10,13.7797,14.28777
jazz,10,30.00,30,10,0.000406,0.0005555
nlpkkt200,10,2.00,2,10,27.8955,29.0692
