Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
p_hat700-1,10,39.30,39,7,5.2100,14.7671
gen200_p0.9_55,10,62.90,62,2,0.9500,10.8400
keller4,10,15.00,15,10,0.2500,0.8860
C500.9,10,158.10,157,1,45.4100,45.4100
brock200_2,10,28.00,28,10,3.0200,7.4260
brock800_4,10,130.60,129,1,52.2300,52.2300
p_hat1500-1,10,73.10,73,9,3.5000,8.1444
p_hat300-2,10,39.70,39,3,7.6800,17.4000
brock800_2,10,130.30,129,2,17.0800,37.9150
C2000.5,10,206.00,206,10,0.1800,0.1820
hamming10-4,10,83.10,82,2,28.6300,34.9650
p_hat700-3,10,136.60,135,1,3.9500,3.9500
DSJC1000.5,10,113.90,113,1,7.7200,7.7200
p_hat700-2,10,82.00,82,10,0.6900,21.1700
MANN_a45,10,363.80,363,2,13.1300,30.3500
p_hat1500-2,10,157.40,156,1,27.2300,27.2300
p_hat1500-3,10,266.50,266,5,4.5000,17.4000
gen400_p0.9_65,10,99.20,95,1,9.2800,9.2800
brock400_2,10,87.90,86,1,38.9900,38.9900
p_hat300-1,10,20.00,20,10,0.0700,0.2300
C4000.5,10,377.90,377,1,63.8300,63.8300
MANN_a27,10,136.10,136,9,0.9700,25.8022
MANN_a81,10,1144.90,1143,1,49.8000,49.8000
gen400_p0.9_55,10,70.80,61,1,58.9200,58.9200
keller5,10,34.70,33,2,4.8700,22.4300
hamming8-4,10,16.00,16,10,0.0000,0.0180
C2000.9,10,534.00,534,10,0.3100,0.3460
p_hat300-3,10,65.80,65,2,1.7500,30.6300
gen200_p0.9_44,10,49.20,45,1,2.4000,2.4000
C125.9,10,46.50,46,5,0.6400,23.5180
C250.9,10,83.90,83,1,0.7100,0.7100
brock400_4,10,87.80,87,2,21.3500,26.8200
gen400_p0.9_75,10,110.60,110,4,40.9600,49.1875
DSJC500.5,10,63.00,63,10,0.2000,6.3770
C1000.9,10,290.00,290,10,0.0500,0.0510
brock200_4,10,39.80,39,2,4.5900,25.0600
