Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
scc_rt_occupy,10,5.00,5,10,3.3e-05,8.62e-05
tech-WHOIS,10,58.00,58,10,0.008678,0.0180343
soc-slashdot,10,29.00,29,10,0.055248,0.1102549
ia-email-univ,10,12.00,12,10,9.6e-05,0.0002975
sc-pwtk,10,30.20,30,8,0.608771,0.82016975
scc_rt_gop,10,2.00,2,10,4.1e-05,0.0001078
scc_rt_dash,10,6.00,6,10,0.000228,0.0003011
web-it-2004,10,432.00,432,10,0.043809,0.0465957
soc-karate,10,5.00,5,10,1.1e-05,3.29e-05
scc_rt_barackobama,10,10.00,10,10,0.000127,0.0003704
scc_rt_occupywallstnyc,10,18.00,18,10,4.7e-05,0.0001198
scc_rt_uae,10,3.00,3,10,4.6e-05,0.0001446
scc_rt_mittromney,10,5.00,5,10,0.000108,0.0003472
scc_rt_tlot,10,2.00,2,10,3.5e-05,0.0001142
scc_rt_alwefaq,10,16.00,16,10,0.000125,0.0001786
ia-enron-large,10,24.00,24,10,0.030362,0.0573337
rt-retweet-crawl,10,13.00,13,10,0.335731,0.4181642
scc_enron-only,10,120.00,120,10,0.000105,0.0002356
socfb-Duke14,10,40.00,40,10,0.306979,9.9163102
web-polblogs,10,9.80,9,2,50.0316,53.03505
socfb-MIT,10,37.40,37,6,0.11686,14.34481
scc_infect-hyper,10,106.00,106,10,7e-05,0.000335
web-BerkStan,10,29.00,29,10,0.000486,0.000512
scc_fb-messages,10,707.00,707,10,0.019681,0.027423200000000002
inf-roadNet-CA,10,4.00,4,10,0.163207,0.1817403
tech-internet-as,10,16.00,16,10,0.005005,0.0067269
web-wikipedia2009,10,31.00,31,10,0.383221,0.4287686
bio-yeast,10,6.00,6,10,7e-05,0.0002284
rt-twitter-copen,10,4.00,4,10,0.000136,0.0005467
soc-douban,10,11.00,11,10,0.045566,0.087975
soc-brightkite,10,37.00,37,10,0.011062,0.0142575
scc_rt_saudi,10,8.00,8,10,8.9e-05,0.0002954
socfb-Berkeley13,10,42.10,42,9,1.5095,11.42698
scc_rt_justinbieber,10,17.00,17,10,0.00012,0.0003318
ia-reality,10,5.00,5,10,0.000438,0.0008098000000000001
soc-orkut,2,66.50,66,1,124.222,124.222
