Graph,Count,Avg rb,Min rb,HitTime,Min Time,Avg Time
p_hat700-1,10,44.50,44,5,1.897511,22.16324
gen200_p0.9_55,10,63.70,62,1,0.136738,0.136738
keller6,10,66.40,65,3,14.839829,33.395805333333335
keller4,10,15.00,15,10,0.004104,0.0105482
C500.9,10,153.90,152,1,4.865806,4.865806
brock200_2,10,29.10,28,1,1.648557,1.648557
brock800_4,10,127.00,124,1,55.034785,55.034785
p_hat1500-1,10,85.00,82,2,44.421784,44.585382
p_hat300-2,10,45.10,44,1,47.384707,47.384707
brock800_2,10,127.50,126,1,15.761044,15.761044
C2000.5,10,217.30,212,1,23.662612,23.662612
hamming10-4,10,78.10,74,1,33.652916,33.652916
p_hat700-3,10,146.60,145,3,25.059103,39.39396933333333
DSJC1000.5,10,114.10,112,1,40.838998,40.838998
p_hat700-2,10,92.40,91,1,45.651869,45.651869
MANN_a45,10,364.80,364,3,1.53778,10.237851000000001
p_hat1500-2,10,184.40,181,1,48.114029,48.114029
p_hat1500-3,10,293.90,289,1,39.946791,39.946791
gen400_p0.9_65,10,66.30,66,7,0.062626,0.11412042857142857
brock400_2,10,85.80,85,3,2.655329,16.849486666666667
p_hat300-1,10,22.40,22,6,0.076045,2.9972268333333334
C4000.5,10,401.60,398,1,6.071162,6.071162
MANN_a27,10,140.80,140,2,0.023668,0.0245965
MANN_a81,10,1146.00,1145,2,51.13769,54.767091
gen400_p0.9_55,10,55.10,55,9,0.065723,0.09417533333333333
keller5,10,31.00,31,10,0.233003,0.8469691
hamming8-4,10,25.70,24,1,0.039238,0.039238
C2000.9,10,550.40,520,1,51.05757,51.05757
p_hat300-3,10,69.40,67,1,0.197417,0.197417
gen200_p0.9_44,10,48.90,47,1,0.086647,0.086647
C125.9,10,50.30,50,7,0.004297,0.015158714285714286
C250.9,10,82.50,81,1,4.27976,4.27976
brock400_4,10,85.70,85,3,2.785051,21.711194
gen400_p0.9_75,10,80.10,77,1,0.446773,0.446773
DSJC500.5,10,63.50,63,5,6.727525,30.2326966
C1000.9,10,278.40,276,1,49.138843,49.138843
brock200_4,10,40.00,39,2,2.555619,2.5585690000000003
